id,tweet,favourites,retweets,followers,is_covid
1255474412557488129,"Anyone who has frozen their eggs, sperm and embryos will be able to extend their storage for an additional 2 years. 

This is due to the potential impact that the #coronavirus outbreak has had on those wishing to start a family. 
 
Find out more👇
https://t.co/hDCZQYLpYT https://t.co/RtIkZxQokF",213,57,691759,True
1298168234617769986,"We’ve worked with #NorthernPowerhouse companies who have transformed their production lines to create #PPE

With help from @BluetreeGroup, @PrivateWhiteVC and @Duraweld, we’re getting millions more pieces of PPE to protect NHS &amp; social care workers against #coronavirus.

Watch ⬇️ https://t.co/ZbDZYD0CiL",35,20,691759,True
1246736749734354945,"FACT: Exposing yourself to the ☀️ or to temperatures higher than 25C degrees DOES NOT prevent #COVID19. 

#coronavirus #KnowTheFacts https://t.co/9Al0lpPJvo",1708,1053,12269131,True
1304018691835727873,"We've an important task ahead of us to empower &amp; resource all health workforces across the 🌍, to work together for the speedy development &amp; deployment of new solutions to manage &amp; overcome the #COVID19 pandemic.
-@vonderleyen https://t.co/Hpb7iigKRz",32,19,12269130,True
1347169673536806913,"RT @PHE_uk: THREAD 1/5 

A recent @Telegraph article claimed we had decided not to deliver the #COVID19 #vaccine on Sundays. 

This is untr…",0,331,691759,True
1293936114055680001,"""The Act Accelerator is the only global framework for ensuring the fair and equitable allocation of #COVID19 tools. 

But it must be financed to be successful""-@DrTedros",27,15,12269131,True
1297843988855169024,"""In order to be able to secure enough doses to rollout the vaccines, the next step for the partnership is for countries to make binding commitments in support of the COVAX Facility.""-@DrTedros #COVID19",55,23,12269131,True
1293925277882634242,#COVID19 can be spread by people who do not have symptoms &amp; do not know that they are infected. Masks can help prevent people who have COVID-19 from spreading the virus to others. Learn more: https://t.co/jkWwZTxyhs. #WorldMaskWeek https://t.co/RZPoJp6od6,503,426,5554475,True
1337438495833546753,"""The #COVID19 pandemic has demonstrated that health is not a luxury; it’s the foundation of social, economic and political stability""-@DrTedros",56,22,12269118,True
1290785873731170304,Health equity is when everyone has the opportunity to be as healthy as possible. We must address long-standing inequities that put some racial and ethnic groups at a higher risk for #COVID19. Learn about @CDCgov’s COVID-19 #HealthEquity Strategy: https://t.co/rahFGGSD5K https://t.co/4jqCRTngvN,23,19,1958454,True
1287830159664570370,"#TakeAction to slow the spread of #COVID19 by wearing a cloth face covering in public spaces, keeping at least 6 feet of physical distance, &amp; frequently washing your hands. Make a cloth face covering from a t-shirt, scarf or cloth napkin. Learn how at https://t.co/RxIwGVIdCq https://t.co/a64jVlGDkG",135,91,1958449,True
1356958116961603586,"We are doing extra testing in areas where the #COVID19 variant first identified in South Africa has been found.

This will help monitor and suppress the spread of #COVID19.

Everyone should continue to follow lockdown rules and #StayHome 

Find out more⬇️

https://t.co/AAQw7X7fl2 https://t.co/EUtln1hKe5",38,12,691759,True
1284148339148312577,"""We’re also shipping millions of items of protective gear around the world and ensuring health facilities are properly equipped""-@DrTedros #COVID19",25,9,12269130,True
1265638036056006663,"RT @CDCDirector: Thank you, America, for all that you have done to slow the spread of #COVID19. You can continue to protect the vulnerable…",0,149,1958449,True
1254359685060349954,"Mobile #coronavirus testing units will travel around the UK to help essential workers and the most vulnerable, including those in care homes, police stations and prisons, have increased access to #covid19 tests.

https://t.co/hqM2ytumJl

@DefenceHQ https://t.co/Viw4GjHYls",150,58,691759,True
1307982615950045184,"RT @10DowningStreet: WATCH LIVE: #Coronavirus data briefing (21 September 2020)
 
Speakers: 

🔵 Prof Chris Whitty, @CMO_England
🔵 Sir Patri…",0,286,691759,True
1279386726952124416,"“Together for Europe’s recovery” 🇩🇪 🇪🇺

Germany has taken over the the Presidency of the @EUCouncil for the next 6 months.

The #EU2020DE will focus on overcoming the consequences of the #coronavirus, building a stronger and more innovative Europe, and much more. @EU2020DE",448,165,1822572,True
1327018664839815170,"#COVID19 cases and deaths in non-urban areas are increasing steadily. Case and death rates are now highest in small cities and rural communities. To compare COVID-19 case and death rates between urban &amp; rural areas, and other trends by population, visit: https://t.co/hn80C9qpRT https://t.co/dIMoC01tWc",106,95,5554473,True
1272556577292193798,"""Over the past 8 years, significant strengthening of the system has been made possible through the Pandemic Influenza Preparedness Framework, and I would also like to thank the public and private sector partners that participate in this global system""-@DrTedros",32,9,12269118,True
1311288398422867968,"""The Access to #COVID19 Tools Accelerator harnesses the power of science and partnerships to develop solutions and deliver them in a spirit of solidarity.  

Already the ACT Accelerator has delivered impressive results""-@DrTedros #ACTogether",32,9,12269130,True
1251454794260189184,"Incredible artists from all over the world are showing their solidarity today as we fight #COVID19. 

Tune in from 8pm CEST/ 6pm GMT/ 2PM EDT to hear the stories of frontline #healthworkers, performances and commitments to WHO’s Solidarity Response Fund. https://t.co/p7vfz4WlrO",5807,1742,12269130,True
1305783480337522689,"President @vonderleyen, @eucopresident Michel and Chancellor Merkel spoke with with Chinese President Xi Jinping on 14 September.

They discussed trade and investment, climate change, the response to the #coronavirus, as well as international affairs and more. #EUChina",157,68,1822576,True
1293936398857383937,"""The world has already spent trillions dealing with the short-term consequences of the #COVID19 pandemic. 

@g20org countries alone have mobilized more than $10 trillion in fiscal stimulus to treat and mitigate the consequences of the pandemic""-@DrTedros",26,11,12269118,True
1298895321284653058,"Washing your hands is a crucial way to protect yourself and others from coronavirus.
 
Make sure to wash your hands regularly for at least 20 seconds with soap and water.
 
For more guidance click here: https://t.co/jjTlOoSJyJ https://t.co/OEGBrkIn5q",51,60,512867,True
1275087048320454656,"""More than 8.8 million #COVID19 cases have now been reported to WHO, and more than 465,000 people have lost their lives.

Some countries are continuing to see a rapid increase in cases and deaths""-@DrTedros",53,31,12269130,True
1357726323091906560,"""That’s why it’s so important that older people everywhere are prioritized for vaccination. Those most at risk of severe disease and death from #COVID19, incl. #healthworkers &amp; older people, must come first – and they must come first everywhere""-@DrTedros

https://t.co/WxCZiCT1ei",39,15,12269131,True
1328379609570799618,"""The @EU_Commission, France, Spain, The Republic of Korea and the @gatesfoundation pledged $360 million to COVAX, the vaccines pillar of the ACT-Accelerator. 

New contributions bring the total committed to $5.1 billion""-@DrTedros #COVID19 #ACTogether",29,12,12269119,True
